YEAR,Team,DATE,LOCATION,OPPONENT,RESULT,TEAMSCORE,OPPSCORE,RECORD,WAB,ADJO,ADJD,OPPP,OEFG%,OTO%,OOR%,OFTR,DPPP,DEFG%,DTO%,DOR%,DFTR
2021,Arizona,Mon 12-07,H,Northern Arizona,W,96,53,3-0,0.3,124,86.2,140.9,80.2,17.6,38.1,64.6,77.8,34.7,17.6,25,33.9
2021,Arizona,Wed 12-09,H,Cal St. Bakersfield,W,85,60,4-0,0.4,126.6,93.4,129.8,58.9,15.3,35.5,37.5,91.6,44.2,19.9,27.3,40.4
2021,Arizona,Sat 12-12,H,UTEP,W,69,61,5-0,0.6,102.8,90.7,101.9,39.3,23.6,48.6,50,90.1,45.4,19.2,17.6,27.8
2021,Arizona,Sat 12-19,N,Stanford,L,75,78,5-1,0,117.6,111.2,108.4,58.3,24.6,39.4,42.6,112.7,59.1,20.2,32.3,40
2021,Arizona,Tue 12-22,H,Montana,W,70,64,6-1,0.1,99,100.6,102.5,44.7,11.7,34.1,59.6,93.7,47.8,27.8,22.2,47.8
2021,Arizona,Mon 12-28,H,Colorado,W,88,74,7-1,0.7,139.8,100.2,130.5,59.6,11.9,31,47.4,109.7,54.5,19.3,31.3,30.9
2021,Arizona,Thu 12-31,A,Washington,W,80,53,8-1,1,112.6,75.5,112.2,46.4,14,47.5,37.7,74.3,35.9,14,18.8,17.2
2021,Arizona,Sat 1-02,A,Washington St.,W,86,82,9-1,1.4,109.5,95.5,99.6,40.7,12.7,31.3,42.7,94.9,45.7,16.2,26.9,53.6
2021,Arizona,Thu 1-07,H,USC,L,73,87,9-2,1.1,113.6,100.5,97.2,43.5,13.3,25.6,41.9,115.8,66,20,12,43.4
2021,Arizona,Sat 1-09,H,UCLA,L,76,81,9-3,0.6,125.5,109.8,117.1,49.2,13.9,40.5,24.6,124.8,55.1,13.9,35.7,65.3
2021,Arizona,Thu 1-14,A,Oregon St.,W,98,64,10-3,1.2,145.9,83,138,63.9,14.1,38.7,42.6,90.1,45.1,16.9,23.1,23
2021,Arizona,Thu 1-21,A,Arizona St.,W,84,82,11-3,1.7,119.1,102.1,112.9,56.6,18.8,27.3,27.9,110.2,56.5,21.5,25.7,53.7
2021,Arizona,Mon 1-25,H,Arizona St.,W,80,67,12-3,1.9,115,79.3,106.2,55.8,22.6,23.1,100,88.9,42,15.9,22.7,15.9
2021,Arizona,Thu 1-28,H,Stanford,L,64,73,12-4,1.3,102.1,98.8,90.7,49.1,25.5,21.9,28.3,103.5,55.7,17,16.7,39.6
2021,Arizona,Sat 1-30,H,California,W,71,50,13-4,1.5,114.9,78.5,112.9,57.7,19.1,34.6,34.6,79.5,45.7,25.4,20,23.4
2021,Arizona,Thu 2-04,A,Utah,L,58,73,13-5,1,100.8,102.5,92.7,38.9,19.2,35.1,37,116.7,58.5,17.6,29.6,26.4
2021,Arizona,Sat 2-06,A,Colorado,L,79,82,13-6,0.8,132.1,113,121.5,55.5,13.8,39.3,41.8,126.2,66.3,16.9,21.7,32.7
2021,Arizona,Thu 2-11,H,Oregon St.,W,70,61,14-6,1.2,114.8,88.2,109.5,47,20.3,38.5,68,95.4,43,7.8,23.8,15.6
2021,Arizona,Sat 2-13,H,Oregon,L,61,63,14-7,0.7,107.7,97.2,104.8,46.5,10.3,27.8,19.3,108.2,51.8,17.2,37.5,20
2021,Arizona,Thu 2-18,A,UCLA,L,60,74,14-8,0.4,102.1,92.2,89.7,46,23.9,22.9,40,110.6,56.7,10.5,16.7,15
2021,Arizona,Sat 2-20,A,USC,W,81,72,15-8,1.2,131.3,92.3,116.2,48.4,12.9,38.5,35.9,103.3,47.6,14.3,30,35.5
2021,Arizona,Thu 2-25,H,Washington St.,W,69,53,16-8,1.5,114.7,88,108.4,53.8,18.9,40.7,36.5,83.3,37.3,20.4,35.6,17.5
2021,Arizona,Sat 2-27,H,Washington,W,75,74,17-8,1.7,105.5,102.8,104.3,42.9,13.9,33.3,38.1,102.9,54.9,18.1,9.7,47.1
2021,Arizona,Mon 3-01,A,Oregon,L,69,80,17-9,1.3,117.7,110.2,110,52.8,14.3,21.2,35.8,127.5,56.4,11.2,33.3,40
2022,Arizona,Tue 11-09,H,Northern Arizona,W,81,52,1-0,0,101.2,85.2,115.3,46.4,8.5,34.8,34.8,74,40.6,29.9,30,32.1
2022,Arizona,Fri 11-12,H,UT Rio Grande Valley,W,104,50,2-0,0,110.2,73.4,130,70.5,22.5,44,62.5,62.5,25.4,16.2,20.4,35.8
2022,Arizona,Tue 11-16,H,North Dakota St.,W,97,45,3-0,0.1,128.4,72,135.9,61.4,11.2,38.2,33.3,63.1,30.8,23.8,29.4,13.8
2022,Arizona,Fri 11-19,N,Wichita St.,W,82,78,4-0,0.5,101.9,85,93,44.9,25,32.4,71.2,88.5,41.3,17,35.7,30
2022,Arizona,Sun 11-21,N,Michigan,W,80,62,5-0,1.1,118.4,80.7,113.4,53,14.2,33.3,18.2,87.8,44.3,21.3,27.3,41.5
